 名称 , 产地 , 供应商 , 抑制率1 , 抑制率2 , 结果 , 年份 
空心菜,琼山三江,绿峰,2.93%,9.34%,合格,03-28
地瓜叶,琼山七水洋,泳旺/龙地园,2.01%,2.20%,合格,03-28
蒜苗,云南陆良,广西泽元,13.90%,13.20%,合格,03-30
西芹,云南通海,东北亚贸易,4.21%,7.14%,合格,03-30
茄子,云南通海,东北亚贸易,5.86%,3.85%,合格,03-30
空心菜,海口秀英,自采,0.92%,0.00%,合格,03-30
金针菇,福建漳州,自采,0.00%,1.83%,合格,03-30
杏鲍菇,辽宁大连,自采,0.00%,1.10%,合格,03-30
白玉菇,福建漳州,自采,3.30%,0.00%,合格,03-30
秋葵,海口秀英,自采,2.20%,3.11%,合格,03-30
虫草花,福建漳州,自采,4.21%,4.03%,合格,03-30
平菇,海口秀英,自采,1.10%,0.00%,合格,03-30
鲜香菇,福建漳州,自采,1.28%,3.85%,合格,03-30
金丝白,云南通海,东北亚贸易,4.58%,1.65%,合格,03-30
菜心,琼山龙湾,光伏,7.51%,7.14%,合格,03-30
本地小白菜,琼山龙湾,光伏,4.21%,6.04%,合格,03-30
黑叶白,琼山龙湾,光伏,6.23%,4.95%,合格,03-30
本地小白菜,琼山大荒洋,鑫源丰,4.40%,0.18%,合格,03-30
上海青,琼山大荒洋,鑫源丰,0.00%,0.18%,合格,03-30
小芥菜,琼山大荒洋,鑫源丰,1.47%,4.95%,合格,03-30
黑叶白,琼山大荒洋,鑫源丰,7.51%,3.85%,合格,03-30
地瓜叶,琼山大荒洋,鑫源丰,4.95%,6.59%,合格,03-30
蒜头,云南通海,东北亚贸易,2.56%,0.00%,合格,03-27
莲藕,湖北汉川,海南物流,5.13%,1.28%,合格,03-27
蒜苔,云南通海,东北亚贸易,8.06%,4.95%,合格,03-27
西瓜,海南文昌,椰枝花,4.21%,2.01%,合格,03-27
丑苹果,四川凉山,椰枝花,3.66%,1.65%,合格,03-27
红富士,山西运城,椰枝花,0.73%,0.00%,合格,03-27
蜜梨,四川华蓥,椰枝花,8.79%,8.06%,合格,03-27
贡梨,安徽砀山,椰枝花,0.00%,0.00%,合格,03-27
沃柑,广西武鸣,椰枝花,1.47%,2.75%,合格,03-27
香蕉,海南乐东,椰枝花,6.04%,3.85%,合格,03-27
芭蕉,海南乐东,椰枝花,6.04%,2.01%,合格,03-27
丑苹果,陕西延安,玉玉橙橙,2.56%,3.30%,合格,03-27
金针菇,福建漳州,自采,4.58%,1.28%,合格,03-27
杏鲍菇,辽宁大连,自采,3.48%,0.73%,合格,03-27
白玉菇,福建漳州,自采,4.95%,3.30%,合格,03-27
秋葵,海口秀英,自采,3.85%,1.83%,合格,03-27
虫草花,福建漳州,自采,0.00%,3.11%,合格,03-27
平菇,海口秀英,自采,5.68%,7.51%,合格,03-27
鲜香菇,福建漳州,自采,4.40%,1.47%,合格,03-27
菜心,琼山大荒洋,鑫源丰,5.49%,0.00%,合格,03-27
金丝白,云南通海,东北亚贸易,3.66%,2.56%,合格,03-26
尖椒,云南通海,东北亚贸易,2.75%,0.00%,合格,03-26
莴笋,云南通海,东北亚贸易,3.66%,2.56%,合格,03-26
蒜苔,云南通海,东北亚贸易,4.58%,3.85%,合格,03-26
土豆,云南通海,东北亚贸易,2.75%,0.00%,合格,03-26
黄瓜,云南通海,东北亚贸易,2.56%,0.00%,合格,03-26
芋头,琼山七水洋,泳旺,3.11%,0.18%,合格,03-26
茄子,云南通海,东北亚贸易,6.96%,5.31%,合格,03-26
本地小白菜,琼山七水洋,泳旺,6.04%,9.34%,合格,03-26
小葱,云南通海,东北亚贸易,10.30%,10.30%,合格,03-26
蒜苗,云南通海,东北亚贸易,37.40%,37.90%,合格,03-26
黑叶白,琼山七水洋,泳旺,3.66%,3.48%,合格,03-26
空心菜,海口秀英,自采,8.97%,9.34%,合格,03-26
莲藕,湖北汉川,海南物流,6.41%,6.59%,合格,03-26
苦瓜,云南通海,东北亚贸易,3.30%,2.75%,合格,03-26
小黄白,云南通海,东北亚贸易,3.11%,1.28%,合格,03-26
莲花白,云南通海,东北亚贸易,2.75%,4.21%,合格,03-26
西红柿,云南通海,东北亚贸易,3.30%,5.86%,合格,03-26
线椒,海南白沙,秀英东南鸿,10.10%,7.88%,合格,03-26
螺丝椒,海南临高,秀英东南鸿,0.18%,0.00%,合格,03-26
本地小白菜,琼山大荒洋,鑫源丰,0.37%,0.00%,合格,03-27
黑叶白,琼山大荒洋,鑫源丰,4.40%,2.75%,合格,03-27
青梗小白菜,琼山大荒洋,鑫源丰,0.00%,0.00%,合格,03-27
上海青,琼山大荒洋,鑫源丰,2.20%,0.18%,合格,03-27
地瓜叶,琼山大荒洋,鑫源丰,0.55%,2.38%,合格,03-27
茄子,琼山大荒洋,鑫源丰,10.10%,1.83%,合格,03-27
菜心,琼山大荒洋,昌木达,4.76%,3.11%,合格,03-27
本地小白菜,琼山大荒洋,昌木达,2.75%,2.20%,合格,03-27
地瓜叶,琼山大荒洋,昌木达,0.00%,0.73%,合格,03-27
空心菜,琼山三江,绿峰,4.58%,6.78%,合格,03-27
本地小白菜,琼山七水洋,泳旺,1.65%,0.18%,合格,03-27
黑叶白,琼山七水洋,泳旺,2.20%,3.11%,合格,03-27
地瓜叶,琼山七水洋,泳旺/龙地园,1.83%,1.65%,合格,03-27
地瓜叶,琼山大荒洋,恒鑫,0.00%,2.38%,合格,03-27
香芋南瓜,琼山大荒洋,湘满园,3.48%,2.93%,合格,03-27
圆茄子,琼山大荒洋,湘满园,4.03%,2.93%,合格,03-27
嫩南瓜,琼山大荒洋,湘满园,5.31%,2.75%,合格,03-27
苦瓜,云南通海,东北亚贸易,4.76%,0.00%,合格,03-27
莲花白,云南通海,东北亚贸易,1.10%,3.11%,合格,03-27
土豆,云南通海,东北亚贸易,4.76%,3.30%,合格,03-27
蒜头,云南通海,东北亚贸易,4.03%,6.41%,合格,03-26
白洋葱,云南通海,东北亚贸易,1.28%,0.00%,合格,03-26
茭白,云南通海,东北亚贸易,0.18%,1.28%,合格,03-26
菜心,琼山大荒洋,鑫源丰,11.70%,9.89%,合格,03-26
本地小白菜,琼山大荒洋,鑫源丰,8.61%,9.52%,合格,03-26
青梗小白菜,琼山大荒洋,鑫源丰,11.70%,12.60%,合格,03-26
地瓜叶,琼山大荒洋,鑫源丰,17.90%,15.40%,合格,03-26
茄子,琼山大荒洋,鑫源丰,13.00%,14.80%,合格,03-26
菜心,琼山大荒洋,昌木达,13.20%,12.30%,合格,03-26
地瓜叶,琼山大荒洋,昌木达,12.80%,12.10%,合格,03-26
地瓜叶,琼山七水洋,泳旺/龙地园,9.16%,8.06%,合格,03-26
地瓜叶,琼山大荒洋,恒鑫,4.03%,3.11%,合格,03-26
空心菜,琼山三江,绿峰,0.18%,1.47%,合格,03-26
香芋南瓜,琼山大荒洋,湘满园,4.95%,4.40%,合格,03-26
圆茄子,琼山大荒洋,湘满园,1.47%,0.55%,合格,03-26
嫩南瓜,琼山大荒洋,湘满园,0.73%,0.00%,合格,03-26
冬瓜,云南通海,东北亚贸易,3.48%,4.40%,合格,03-26
南瓜,云南通海,东北亚贸易,1.10%,0.00%,合格,03-26
丑苹果,陕西延安,玉玉橙橙,2.75%,0.18%,合格,03-26
金针菇,福建漳州,自采,4.21%,2.20%,合格,03-26
茄子,琼山大荒洋,鑫源丰,1.10%,0.00%,合格,03-25
线椒,琼山大荒洋,鑫源丰,3.11%,10.40%,合格,03-25
地瓜叶,琼山七水洋,泳旺/龙地园,0.00%,6.59%,合格,03-25
地瓜叶,琼山大荒洋,昌木达,33.30%,7.88%,合格,03-25
地瓜叶,琼山大荒洋,恒鑫,22.90%,6.78%,合格,03-25
茭白,琼山七水洋,鑫莲,7.33%,0.00%,合格,03-25
香芋南瓜,琼山大荒洋,湘满园,0.00%,0.00%,合格,03-25
圆茄子,琼山大荒洋,湘满园,6.04%,0.00%,合格,03-25
嫩南瓜,琼山大荒洋,湘满园,13.90%,0.00%,合格,03-25
蜜梨,淮安,玉玉橙橙,0.00%,0.00%,合格,03-25
香梨,乌鲁木齐,玉玉橙橙,0.00%,0.00%,合格,03-25
丑苹果,延安,玉玉橙橙,2.20%,0.00%,合格,03-25
沃柑,南宁,玉玉橙橙,0.00%,0.00%,合格,03-25
土豆,云南通海,东北亚贸易,10.40%,10.40%,合格,03-25
黄瓜,云南通海,东北亚贸易,18.70%,4.21%,合格,03-25
娃娃菜,云南通海,东北亚贸易,9.71%,7.88%,合格,03-25
金丝白,云南通海,东北亚贸易,14.80%,1.28%,合格,03-25
莴笋,云南通海,东北亚贸易,7.51%,9.34%,合格,03-25
冬瓜,云南通海,东北亚贸易,6.41%,10.40%,合格,03-25
南瓜,云南通海,东北亚贸易,37.40%,8.42%,合格,03-25
杏鲍菇,辽宁大连,自采,3.11%,6.41%,合格,03-26
白玉菇,福建漳州,自采,3.11%,4.40%,合格,03-26
秋葵,海口秀英,自采,2.01%,0.18%,合格,03-26
虫草花,福建漳州,自采,3.11%,0.00%,合格,03-26
平菇,海口秀英,自采,4.03%,3.11%,合格,03-26
鲜香菇,福建漳州,自采,1.10%,0.00%,合格,03-26
娃娃菜,云南通海,东北亚贸易,5.49%,1.28%,合格,03-26
丑苹果,四川凉山,椰枝花,4.95%,2.93%,合格,03-26
红富士,山西运城,椰枝花,4.95%,5.31%,合格,03-26
香梨,新疆库尔勒,椰枝花,2.01%,5.49%,合格,03-26
贡梨,安徽砀山,椰枝花,4.76%,3.66%,合格,03-26
沃柑,广西武鸣,椰枝花,2.01%,3.11%,合格,03-26
花牛苹果,甘肃天水,椰枝花,2.38%,3.30%,合格,03-26
香蕉,海南乐东,椰枝花,3.30%,0.73%,合格,03-26
库尔勒香梨,新疆库尔勒,椰枝花,3.66%,1.65%,合格,03-26
芭蕉,海南乐东,椰枝花,6.04%,4.95%,合格,03-26
猕猴桃,陕西秦岭,椰枝花,1.47%,2.01%,合格,03-26
外地大白菜,云南通海,东北亚贸易,9.52%,13.40%,合格,03-25
西红柿,云南通海,东北亚贸易,6.41%,3.85%,合格,03-25
西兰花,云南通海,东北亚贸易,5.86%,4.40%,合格,03-25
芋头,琼山七水洋,泳旺,5.31%,4.58%,合格,03-25
大葱,云南通海,东北亚贸易,1.65%,3.85%,合格,03-25
生姜,琼山七水洋,进利,1.28%,12.60%,合格,03-25
山药,云南通海,银川物流,11.50%,10.10%,合格,03-25
胡萝卜,云南通海,东北亚贸易,8.97%,0.73%,合格,03-25
油麦菜,云南通海,东北亚贸易,5.49%,13.00%,合格,03-25
上海青,云南通海,东北亚贸易,0.00%,1.28%,合格,03-25
小黄白,云南通海,东北亚贸易,3.11%,3.48%,合格,03-25
尖椒,云南通海,东北亚贸易,0.00%,0.00%,合格,03-25
韭菜,云南通海,东北亚贸易,11.40%,14.50%,合格,03-25
菠菜,云南陆良,中商,0.00%,0.00%,合格,03-25
小葱,云南通海,东北亚贸易,5.31%,2.01%,合格,03-25
生菜,云南通海,东北亚贸易,4.21%,0.00%,合格,03-25
菜心,云南通海,东北亚贸易,1.65%,2.38%,合格,03-25
黑叶白,琼山七水洋,泳旺,0.00%,0.00%,合格,03-25
上海青,琼山七水洋,泳旺,0.00%,0.00%,合格,03-25
本地小白菜,琼山七水洋,泳旺,0.00%,0.00%,合格,03-25
茄子,云南通海,东北亚贸易,6.23%,11.70%,合格,03-25
白萝卜,云南通海,东北亚贸易,0.00%,0.00%,合格,03-25
西芹,云南通海,东北亚贸易,0.18%,8.79%,合格,03-25
蒜头,琼山七水洋,进利,0.00%,5.68%,合格,03-25
小香芹,琼山七水洋,泳旺,8.79%,7.51%,合格,03-25
香菜,云南通海,东北亚贸易,7.51%,2.56%,合格,03-25
芥兰,云南通海,东北亚贸易,0.00%,0.00%,合格,03-25
苦瓜,云南通海,东北亚贸易,0.00%,0.00%,合格,03-25
圆椒,云南通海,东北亚贸易,11.40%,16.80%,合格,03-25
白洋葱,云南通海,东北亚贸易,3.11%,5.49%,合格,03-25
蒜苔,云南通海,东北亚贸易,9.52%,13.40%,合格,03-25
莲花白,云南通海,东北亚贸易,6.04%,11.50%,合格,03-25
金针菇,福建漳州,自采,13.20%,2.20%,合格,03-25
杏鲍菇,辽宁大连,自采,0.00%,1.83%,合格,03-25
白玉菇,福建漳州,自采,0.00%,4.40%,合格,03-25
秋葵,海口秀英,自采,0.00%,0.00%,合格,03-25
虫草花,福建漳州,自采,0.00%,13.00%,合格,03-25
平菇,海口秀英,自采,11.20%,21.20%,合格,03-25
鲜香菇,福建漳州,自采,4.76%,0.00%,合格,03-25
莲藕,琼山七水洋,泳旺,3.85%,0.00%,合格,03-25
上海青,琼山大荒洋,鑫源丰,1.78%,8.61%,合格,03-25
青梗小白菜,琼山大荒洋,鑫源丰,9.89%,4.58%,合格,03-25
地瓜叶,琼山大荒洋,鑫源丰,0.73%,6.04%,合格,03-25
菠菜,云南陆良,中商,0.00%,0.00%,合格,03-25
小葱,云南通海,东北亚贸易,5.31%,2.01%,合格,03-25
生菜,云南通海,东北亚贸易,4.21%,0.00%,合格,03-25
菜心,云南通海,东北亚贸易,1.65%,2.38%,合格,03-25
黑叶白,琼山七水洋,泳旺,0.00%,0.00%,合格,03-25
上海青,琼山七水洋,泳旺,0.00%,0.00%,合格,03-25
本地小白菜,琼山七水洋,泳旺,0.00%,0.00%,合格,03-25
茄子,云南通海,东北亚贸易,6.23%,11.70%,合格,03-25
白萝卜,云南通海,东北亚贸易,0.00%,0.00%,合格,03-25
西芹,云南通海,东北亚贸易,0.18%,8.79%,合格,03-25
蒜头,琼山七水洋,进利,0.00%,5.68%,合格,03-25
小香芹,琼山七水洋,泳旺,8.79%,7.51%,合格,03-25
香菜,云南通海,东北亚贸易,7.51%,2.56%,合格,03-25
芥兰,云南通海,东北亚贸易,0.00%,0.00%,合格,03-25
苦瓜,云南通海,东北亚贸易,0.00%,0.00%,合格,03-25
圆椒,云南通海,东北亚贸易,11.40%,16.80%,合格,03-25
白洋葱,云南通海,东北亚贸易,3.11%,5.49%,合格,03-25
蒜苔,云南通海,东北亚贸易,9.52%,13.40%,合格,03-25
莲花白,云南通海,东北亚贸易,6.04%,11.50%,合格,03-25
金针菇,福建漳州,自采,13.20%,2.20%,合格,03-25
杏鲍菇,辽宁大连,自采,0.00%,1.83%,合格,03-25
白玉菇,福建漳州,自采,0.00%,4.40%,合格,03-25
秋葵,海口秀英,自采,0.00%,0.00%,合格,03-25
虫草花,福建漳州,自采,0.00%,13.00%,合格,03-25
平菇,海口秀英,自采,11.20%,21.20%,合格,03-25
鲜香菇,福建漳州,自采,4.76%,0.00%,合格,03-25
莲藕,琼山七水洋,泳旺,3.85%,0.00%,合格,03-25
上海青,琼山大荒洋,鑫源丰,1.78%,8.61%,合格,03-25
青梗小白菜,琼山大荒洋,鑫源丰,9.89%,4.58%,合格,03-25
地瓜叶,琼山大荒洋,鑫源丰,0.73%,6.04%,合格,03-25
茄子,琼山大荒洋,鑫源丰,1.10%,0.00%,合格,03-25
线椒,琼山大荒洋,鑫源丰,3.11%,10.40%,合格,03-25
地瓜叶,琼山七水洋,泳旺/龙地园,0.00%,6.59%,合格,03-25
地瓜叶,琼山大荒洋,昌木达,33.30%,7.88%,合格,03-25
地瓜叶,琼山大荒洋,恒鑫,22.90%,6.78%,合格,03-25
茭白,琼山七水洋,鑫莲,7.33%,0.00%,合格,03-25
香芋南瓜,琼山大荒洋,湘满园,0.00%,0.00%,合格,03-25
圆茄子,琼山大荒洋,湘满园,6.04%,0.00%,合格,03-25
嫩南瓜,琼山大荒洋,湘满园,13.90%,0.00%,合格,03-25
蜜梨,淮安,玉玉橙橙,0.00%,0.00%,合格,03-25
西瓜,海南文昌,椰枝花,22.00%,10.60%,合格,03-25
丑苹果,四川大凉山,椰枝花,18.70%,15.90%,合格,03-25
香梨,新疆库尔勒,椰枝花,20.90%,36.10%,合格,03-25
蜜梨,四川华蓥,椰枝花,14.70%,9.71%,合格,03-25
贡梨,安徽汤山,椰枝花,0.00%,32.80%,合格,03-25
香蕉,海南乐东,椰枝花,21.60%,33.50%,合格,03-25
芭蕉,海南乐东,椰枝花,43.80%,29.70%,合格,03-25
外地大白菜,云南通海,东北亚贸易,9.52%,13.40%,合格,03-25
西红柿,云南通海,东北亚贸易,6.41%,3.85%,合格,03-25
西兰花,云南通海,东北亚贸易,5.86%,4.40%,合格,03-25
芋头,琼山七水洋,泳旺,5.31%,4.58%,合格,03-25
大葱,云南通海,东北亚贸易,1.65%,3.85%,合格,03-25
生姜,琼山七水洋,进利,1.28%,12.60%,合格,03-25
山药,云南通海,银川物流,11.50%,10.10%,合格,03-25
胡萝卜,云南通海,东北亚贸易,8.97%,0.73%,合格,03-25
油麦菜,云南通海,东北亚贸易,5.49%,13.00%,合格,03-25
上海青,云南通海,东北亚贸易,0.00%,1.28%,合格,03-25
小黄白,云南通海,东北亚贸易,3.11%,3.48%,合格,03-25
尖椒,云南通海,东北亚贸易,0.00%,0.00%,合格,03-25
韭菜,云南通海,东北亚贸易,11.40%,14.50%,合格,03-25
芋头,琼山七水洋,泳旺,3.48%,8.06%,合格,03-23
芋头,广东湛江,自采,2.56%,3.30%,合格,03-23
地瓜叶,海口秀英,自采,1.52%,7.69%,合格,03-23
莴笋,云南通海,东北亚贸易,20.00%,18.70%,合格,03-23
外地大白菜,云南通海,东北亚贸易,0.00%,0.55%,合格,03-23
冬瓜,云南通海,东北亚贸易,13.60%,6.04%,合格,03-23
南瓜,云南通海,东北亚贸易,15.80%,10.80%,合格,03-23
本地小白菜,琼山七水洋,泳旺,3.48%,0.00%,合格,03-23
黑叶白,琼山七水洋,泳旺,1.83%,7.33%,合格,03-23
菠菜,云南陆良,中商,0.00%,10.60%,合格,03-23
韭菜,云南通海,东北亚贸易,14.10%,16.10%,合格,03-23
圆椒,云南通海,东北亚贸易,0.00%,0.37%,合格,03-23
香菜,云南通海,东北亚贸易,6.59%,5.31%,合格,03-23
西芹,云南通海,东北亚贸易,1.47%,4.21%,合格,03-23
西兰花,云南通海,东北亚贸易,0.00%,0.00%,合格,03-23
金针菇,福建漳州,自采,5.86%,12.60%,合格,03-23
杏鲍菇,辽宁大连,自采,0.37%,4.95%,合格,03-23
白玉菇,福建漳州,自采,0.00%,8.06%,合格,03-23
秋葵,海口秀英,自采,2.56%,0.00%,合格,03-23
虫草花,福建漳州,自采,0.00%,2.38%,合格,03-23
绿橙,海南琼中,椰枝花,5.68%,5.31%,合格,03-24
西瓜,海南文昌,椰枝花,5.31%,6.59%,合格,03-24
丑苹果,四川凉山,椰枝花,4.21%,3.85%,合格,03-24
红富士,山西运城,椰枝花,9.89%,6.78%,合格,03-24
香梨,新疆库尔勒,椰枝花,5.13%,4.21%,合格,03-24
蜜梨,四川华蓥,椰枝花,2.38%,5.31%,合格,03-24
香蕉,海南乐东,椰枝花,2.75%,6.04%,合格,03-24
阳光玫瑰,云南建水,椰枝花,14.80%,10.80%,合格,03-24
芭蕉,海南乐东,椰枝花,2.93%,4.76%,合格,03-24
小黄白,云南通海,东北亚贸易,3.85%,6.41%,合格,03-24
娃娃菜,云南通海,东北亚贸易,5.49%,1.28%,合格,03-24
小葱,云南通海,东北亚贸易,6.41%,9.71%,合格,03-23
尖椒,云南通海,东北亚贸易,0.00%,7.88%,合格,03-23
西红柿,云南通海,东北亚贸易,1.83%,1.47%,合格,03-23
白萝卜,云南通海,东北亚贸易,10.40%,3.48%,合格,03-23
茄子,云南通海,东北亚贸易,20.50%,21.40%,合格,03-23
大葱,云南通海,东北亚贸易,0.00%,0.18%,合格,03-23
生姜,琼山七水洋,进利,10.30%,5.31%,合格,03-23
蒜头,琼山七水洋,进利,17.00%,8.42%,合格,03-23
山药,云南通海,银川物流,9.16%,8.61%,合格,03-23
香梨,乌鲁木齐,玉玉橙橙,0.00%,0.00%,合格,03-25
丑苹果,延安,玉玉橙橙,2.20%,0.00%,合格,03-25
沃柑,南宁,玉玉橙橙,0.00%,0.00%,合格,03-25
土豆,云南通海,东北亚贸易,10.40%,10.40%,合格,03-25
黄瓜,云南通海,东北亚贸易,18.70%,4.21%,合格,03-25
娃娃菜,云南通海,东北亚贸易,9.71%,7.88%,合格,03-25
金丝白,云南通海,东北亚贸易,14.80%,1.28%,合格,03-25
莴笋,云南通海,东北亚贸易,7.51%,9.34%,合格,03-25
冬瓜,云南通海,东北亚贸易,6.41%,10.40%,合格,03-25
南瓜,云南通海,东北亚贸易,37.40%,8.42%,合格,03-25
丑苹果,陕西延安,玉玉橙橙,2.01%,0.18%,合格,03-24
西瓜,海南文昌,椰枝花,22.00%,10.60%,合格,03-25
丑苹果,四川大凉山,椰枝花,18.70%,15.90%,合格,03-25
香梨,新疆库尔勒,椰枝花,20.90%,36.10%,合格,03-25
蜜梨,四川华蓥,椰枝花,14.70%,9.71%,合格,03-25
贡梨,安徽汤山,椰枝花,0.00%,32.80%,合格,03-25
香蕉,海南乐东,椰枝花,21.60%,33.50%,合格,03-25
芭蕉,海南乐东,椰枝花,43.80%,29.70%,合格,03-25
菜心,云南通海,东北亚贸易,25.50%,20.10%,合格,03-24
黑叶白,琼山七水洋,泳旺,18.50%,20.70%,合格,03-24
本地小白菜,琼山七水洋,泳旺,13.20%,12.60%,合格,03-24
生菜,云南通海,东北亚贸易,0.00%,4.58%,合格,03-24
圆椒,云南通海,东北亚贸易,0.00%,0.18%,合格,03-24
尖椒,云南通海,东北亚贸易,9.34%,11.70%,合格,03-24
黄瓜,云南通海,东北亚贸易,0.00%,0.00%,合格,03-24
小葱,云南通海,东北亚贸易,0.00%,0.73%,合格,03-24
莲藕,琼山七水洋,泳旺,9.71%,12.50%,合格,03-24
生姜,琼山七水洋,进利,0.00%,0.00%,合格,03-24
蒜头,琼山七水洋,进利,0.00%,0.00%,合格,03-24
金针菇,福建漳州,自采,1.83%,3.48%,合格,03-24
杏鲍菇,辽宁大连,自采,0.00%,1.10%,合格,03-24
白玉菇,福建漳州,自采,3.85%,8.24%,合格,03-24
秋葵,海口秀英,自采,6.41%,4.58%,合格,03-24
虫草花,福建漳州,自采,0.18%,0.00%,合格,03-24
平菇,海口秀英,自采,0.00%,0.00%,合格,03-24
鲜香菇,福建漳州,自采,6.04%,0.00%,合格,03-24
空心菜,海口秀英,自采,0.92%,0.00%,合格,03-24
上海青,琼山大荒洋,鑫源丰,8.97%,10.10%,合格,03-24
黑叶白,琼山大荒洋,鑫源丰,15.00%,15.00%,合格,03-24
青梗小白菜,琼山大荒洋,鑫源丰,7.51%,10.40%,合格,03-24
小香芹,琼山七水洋,泳旺,10.30%,12.60%,合格,03-24
蒜苔,云南通海,东北亚贸易,16.30%,17.90%,合格,03-24
白萝卜,云南通海,东北亚贸易,12.30%,13.70%,合格,03-24
胡萝卜,云南通海,东北亚贸易,9.89%,9.71%,合格,03-24
大葱,云南通海,东北亚贸易,17.60%,20.90%,合格,03-24
山药,云南通海,银川物流,3.30%,8.97%,合格,03-24
西兰花,云南通海,东北亚贸易,10.10%,9.89%,合格,03-24
蒜头,海口琼山,自采,7.88%,9.34%,合格,03-24
芋头,琼山七水洋,泳旺,6.59%,7.51%,合格,03-24
西芹,云南通海,东北亚贸易,7.33%,8.24%,合格,03-24
韭菜,云南通海,东北亚贸易,8.06%,3.30%,合格,03-24
菠菜,云南陆良,中商,8.61%,5.49%,合格,03-24
西红柿,云南通海,东北亚贸易,14.70%,14.30%,合格,03-24
油麦菜,云南通海,东北亚贸易,7.14%,1.65%,合格,03-24
香菜,云南通海,东北亚贸易,7.88%,4.95%,合格,03-24
茄子,云南通海,东北亚贸易,6.41%,4.95%,合格,03-24
莴笋,云南通海,东北亚贸易,2.38%,0.92%,合格,03-24
土豆,云南通海,东北亚贸易,1.28%,1.47%,合格,03-24
冬瓜,云南通海,东北亚贸易,0.00%,0.92%,合格,03-24
南瓜,云南通海,东北亚贸易,5.68%,5.31%,合格,03-24
平菇,海口秀英,自采,8.42%,12.60%,合格,03-23
金丝白,云南通海,东北亚贸易,6.78%,0.00%,合格,03-23
小香芹,琼山七水洋,泳旺,0.00%,2.56%,合格,03-23
上海青,琼山大荒洋,鑫源丰,25.10%,16.70%,合格,03-23
小芥菜,琼山大荒洋,鑫源丰,4.58%,11.70%,合格,03-23
黑叶白,琼山大荒洋,鑫源丰,4.21%,7.88%,合格,03-23
青梗小白菜,琼山大荒洋,鑫源丰,9.16%,10.30%,合格,03-23
地瓜叶,琼山大荒洋,鑫源丰,5.49%,3.11%,合格,03-23
茄子,琼山大荒洋,鑫源丰,2.01%,1.10%,合格,03-23
线椒,琼山大荒洋,鑫源丰,0.00%,0.00%,合格,03-23
空心菜,琼山三江,绿峰,0.00%,0.00%,合格,03-23
香芋南瓜,琼山大荒洋,湘满园,17.10%,5.31%,合格,03-23
圆茄子,琼山大荒洋,湘满园,1.83%,4.40%,合格,03-23
嫩南瓜,琼山大荒洋,湘满园,1.10%,4.03%,合格,03-23
地瓜叶,琼山七水洋,昌木达,2.75%,2.38%,合格,03-23
茭白,琼山七水洋,鑫莲,1.47%,0.00%,合格,03-23
地瓜叶,琼山七水洋,泳旺/龙地园,0.00%,0.37%,合格,03-23
莲藕,琼山七水洋,泳旺,4.21%,0.00%,合格,03-23
土豆,云南通海,东北亚贸易,0.00%,1.28%,合格,03-23
上海青,云南通海,东北亚贸易,0.00%,5.13%,合格,03-23
小葱,云南通海,银川物流,13.40%,11.70%,合格,03-22
芥兰,云南通海,东北亚,4.40%,3.66%,合格,03-22
菠菜,云南通海,中商,15.00%,13.20%,合格,03-22
芋头,琼山七水洋,泳旺,8.24%,3.11%,合格,03-22
胡萝卜,云南通海,银川物流,10.80%,8.24%,合格,03-22
冬瓜,云南通海,银川物流,4.40%,4.40%,合格,03-22
南瓜,云南通海,银川物流,7.69%,6.78%,合格,03-22
菜心,云南通海,银川物流,3.48%,6.59%,合格,03-22
苦瓜,云南通海,银川物流,6.23%,5.49%,合格,03-22
白洋葱,云南通海,东北亚,4.40%,9.71%,合格,03-22
西瓜,海南文昌,椰枝花,13.20%,13.60%,合格,03-22
丑苹果,四川凉山,椰枝花,17.20%,19.20%,合格,03-22
红富士,山西运城,椰枝花,12.30%,11.50%,合格,03-22
香梨,新疆库尔勒,椰枝花,10.80%,10.30%,合格,03-22
蜜梨,四川华蓥,椰枝花,10.80%,8.61%,合格,03-22
贡梨,安徽砀山,椰枝花,6.96%,7.69%,合格,03-22
香蕉,海南乐东,椰枝花,11.90%,11.20%,合格,03-22
阳光玫瑰,云南建水,椰枝花,12.10%,12.80%,合格,03-22
库尔勒香梨,新疆库尔勒,椰枝花,7.69%,8.42%,合格,03-22
芭蕉,海南乐东,椰枝花,12.80%,13.70%,合格,03-22
猕猴桃,陕西秦岭,椰枝花,5.31%,5.68%,合格,03-22
蜜梨,安徽淮化,玉玉橙橙,4.40%,3.30%,合格,03-22
香梨,乌鲁木齐,玉玉橙橙,4.58%,3.30%,合格,03-22
丑苹果,陕西延安,玉玉橙橙,0.92%,2.93%,合格,03-22
沃柑,广西南宁,玉玉橙橙,9.89%,5.49%,合格,03-22
茭白,云南通海,东北亚,7.33%,7.88%,合格,03-22
菜心,琼山大荒洋,鑫源丰,17.40%,15.90%,合格,03-22
上海青,琼山大荒洋,鑫源丰,21.20%,21.80%,合格,03-22
小芥菜,琼山大荒洋,鑫源丰,17.20%,17.60%,合格,03-22
黑叶白,琼山大荒洋,鑫源丰,20.70%,20.70%,合格,03-22
青梗小白菜,琼山大荒洋,鑫源丰,17.60%,19.20%,合格,03-22
地瓜叶,琼山大荒洋,鑫源丰,11.50%,12.50%,合格,03-22
茄子,琼山大荒洋,鑫源丰,13.20%,14.30%,合格,03-22
线椒,琼山大荒洋,鑫源丰,11.00%,11.70%,合格,03-22
